doc_id,text
student_026,"ScienceForums.Net is a discussion forum that has been open since 2002 and allows users to communicate with each other via posts and responses, creating a series of posts called a 'thread'. In platforms such as ScienceForums.Net, there is little to no guidance on the type of content that is discussed, nor is there any formal instruction on the conventions and etiquette that are used on the platform. Experienced users in forum sites more or less learn about the forum's culture solely through use and participation over time. This is why it is the moderators job to oversee these posts and threads to ensure that they contain appropriate content, and to intervene if they see that a user has posted something that warrants a deletion of a post. In this study we will be looking at what may make a thread more popular or less popular, especially in regards to posting inappropriate content and its consequences."
student_027,"Over the past decade, YouTube has become a dominant social media platform many users being able to post a variety of videos online, with the potential of reaching internet fame. The website attracts millions of people to the website, and to many, it has become a part of their routine to check the new content out for a brief intermission from their day. However, the beloved site has also found itself many practical uses as well, such as having a space for educational videos to be found, finding highlights of sports games that were missed, or finding out the latest scoops on politics or even just their favorite games. There seems to be an endless list of what users can post and view on the platform, at least within their guidelines, but what are the most profitable things to post? Even more apparent over the recent years, being one of YouTube's many content creators may seem like a viable means of living if an individual, or company, puts in enough effort to make it a full-time job. The study being held is to examine the most effective category of media to produce by continental region, which may guide prospective users to choose a certain category over their time creating content."
student_028,"In the past decade Youtube has become worldwide video streaming and sharing website. Its accessibility and variety has made it a global phenomenon, producing new career aspirations, celebrities and a continuously growing encyclopedia of visual knowledge on a plethora of topics. Since it is a relatively new concept, there is still much to learn about YouTube and its creators. The goal of this research is to explore view count, subscriber count, continent of origin and category and possible relationships between them. Through exploring this, we hope to learn more about Youtube, its creators and how videos succeed on this relatively young platform."
student_029,"To what extent does medical history matter when determining the rate and cost of health insurance premiums for an individual person? Usually when insurance companies set health premiums, they look at a variety of different factors such as age, location, substance usage, etc. [1] The most important one, however, would arguably be one's total medical costs; if an individual's previous medical cost is higher, they should pay more for their health premium as they have a higher chance of needing it. Therefore, our main goal is to figure out what specific factors (if any) have a stronger association with a person's total cost of claims. And if we are unsuccessful in finding the factors, what might be some statistical obstacles in discovering them? That way, perhaps, the total cost of insurance claims can be adjusted according to an individual's financial situation, a notable benefit for families with greater medical conditions yet lacking financial stability."
student_030,"Youtube is one of the most popular social media platforms with millions of daily users actively searching for some of their favorite topics as well as sharing their videos. A growing focus of many channels seems to be increasing their subscriber count. Earning lots of subscribers leads to increased views and unlocks the many benefits of monetization such as placing ads in videos and earning revenue per view. However, subscriber count may seem simple on the surface but is affected by many other variables and also has its own effects on other variables."
student_031,"Football is a game of extreme physical activity, characterized by brute force and flashy athletics. The dynamic nature of the game makes it easy to forget that football is a game of numbers, probabilities, and strategy as much as it is a display of pure athleticism and skill. Much time (on the parts of coaches, betters, and spectators) is dedicated to the study of football statistics, as an understanding of this can be the difference between winning and losing. Therefore the goal is to be able to gain insight into football statistics and make predictions about certain events and outcomes."
student_032,"Nearly everybody on earth wants to feel loved and the majority would like to end up married to the person of their dreams. This has led hundreds of thousands of hopeful romantics to turn to dating apps such as hinge, tinder, and OkCupid. Today we will be investigating some of the factors that could lead to people being single. The relationships we will be investigating through this paper are if there is a relationship between drinking and relationship status, body type and relationship status, and finally average income and relationship status."
student_033,"We live in a world that revolves around technology and video sharing platforms do not stay behind. Youtube is the most visited platform for video sharing on the web since it allows users to upload original content and is an indispensable tool for modern connectivity and online presence/entertainment. This platform allows people to become world wide known youtubers that can make a profit from creative use of the platform which is why it is important to understand trends that help the success of youtubers, such as the relationship between how long an account has been active and how many subscribers it has, how subscribers vary by category and how the amount of videos uploaded relates to subscriber count. This work might help youtube users who have an aspiration for becoming content creators understand and structure a strategy on how they can be more successful as well as current youtubers understand their statistics and online presence."
student_034,The past decade of the NFL has been the decade of the quarterback with the proliferation of the passing game with more and more of a teams offense built around a lethal quarterback with the run game as an afterthought. But how effective is this strategy? With our research we hope to examine and analyze the effectiveness of this proliferation and what impacts it has on the game today.
student_035,"Maintaining the wellbeing of our planet is essential to the sustainability of life and the general future on Earth. Unfortunately, climate change and rising global temperatures have become increasingly urgent problems in our current world, and have amplified the occurrence of forest fires (as reported by the Center for Climate and Energy Solutions, https://www.c2es.org/content/wildfires-and-climate-change/). Climate change has specifically affected factors such as humidity, soil moisture content, and temperature that directly correlate to the occurrence of forest fires. Our goal in this project is to better understand which factors greatly affect the frequency and intensity of forest fire spread, the results of which may help environmentalists and scientists determine the best steps to take to protect our forests from further destruction."
student_036,"The dangers of wildfires have been brought to the public's attention in recent years after thousands of fires worldwide left record-breaking damage to property and loss of life in their wake. According to Portugal Wildfire data from 1980-2005, 2.7 million Hectares of forest was destroyed, killing 21 people in 2003 alone. Demand for a wildfire detection method is needed to predict the likelihood of fires, so the characterization and investigation of different techniques' pros and cons are important consideration when considering the time pressure firefighting teams are under. One such equipment detection service is Meteorological Satellites which use factors such as temperature, wind, and rain to help determine chances of fire in an accessible and relatively inexpensive way. The goal of this work is to see how using patterns in meteorological data combined with data from the Fire Weather Index can best inform the decisions of firefighters."
student_037,"Technology development overtime has always had a large impact on humanity. YouTube in particularly, has managed to have an impact on individuals of all ages, as it has managed to become a source of information for those in need. Specifically, the amount of views received by YouTube channels has become a major benefactor as YouTubers attempt to expand both their wealth and familiarity. This work may be able to inform beginning YouTubers of the most relevant means of expansion."
student_038,"Dating is one of many areas of life that has significantly changed as the world has digitized. One of the largest innovations in the field is the creation of dating apps, which allow people to find potential partners from around the world without even meeting them. Users fill out fields to describe themselves, and others can view that information and reach out to those they are interested in. This raises the question: what criteria do people choose potential partners based on? Many would argue that physical appearance plays a large part in these decisions. This report aims to shed some light on the users of dating apps and the part appearance plays in relationships."
student_039,"Diamond is one of the most valuable gemstones found on Earth. The most familiar uses of diamonds today are as gemstones used for adornment, and as industrial abrasives for cutting hard materials. The markets for gem-grade and industrial-grade diamonds value diamonds differently [1]. Diamonds are recognized as luxury gifts. It is used in engagement rings, necklaces and other luxury items. An intriguing feature of diamonds is that there are many types of diamonds based on carat, cut, clarity, etc. Our goal in this project is to better understand the relationship between these features of diamonds."
student_040,"With the rise of global warming and climate change, the threat of forest fires is more imminent than ever before as it has the potential to devastate the globe both economically and ecologically. From lighting to gender reveal parties sparking the flame, the area of forest fire damage has only increased over the years (as reported by the EPA https://www.epa.gov/climate-indicators/climate-change-indicators-wildfires). The goal of this study is to look into and find patterns of when exactly these forest fires occur. This work has the potential to help us implement measures that can control these fires before they get too large by dispatching and preparing responders before the fire occurs."
student_041,"As we progress further into the Digital Age, more and more of our consumed content is being curated through online platforms. YouTube is one of the biggest said platforms. It then stands to question what kind of content is on YouTube and what is the most popular. Our goal is to understand YouTube statistics to determine what does well on this platform."
student_042,"Forest Fires are an ever-growing problem in today's world with the uncertainty of our climate. This Forest Fire season has been devastating, completely changing the landscape of the west coast of the United States. Forest Fires are a great threat to the entire ecosystem, including humans. Just this year over one million acres were burned and still are burning in California. The remnants of the smoke cloud can be seen millions of miles away by satellites as a blemish on the Earth. We need to act fast to combat the climate change that is igniting the Earth. The number of fires this year is well above the 10-year average (as nifc.gov reports). A continual increase in fires could affect not only the west coast of our country but affect the entire country in the future in terms of, air quality, temperature, and safety. Our goal is to get a better understanding of the conditions causing wildfires. Once we can identify the perfect conditions for wildfires to spread our work can be used to prevent these conditions from occurring."
student_043,"The world cup is a huge sporting event that gathers millions of fans together to support their country. Every four years the world cup is held and varies in location with each country sending forth the best soccer players in their country. The process behind choosing each national team is by looking through individual leagues within that country and finding those who work best together. Usually the stats looked at are: shots attempted, number of passes, total time played, position they play, and chemistry with other teammates. All of these variables are accounted for in making an official national team. After this process your nation will play in a tournament which usually varies on the area in the world you are. This process qualifies those national teams to play in the world cup. Once you qualify for the world cup there are the group stages which are 32 teams and the knockout rounds of quarter finals, semi finals and finals. This project will focus on the positions of the players and their role on the team."
student_044,"Diamonds are always regarded as a precious jeweler as well as a symbol of wealth. However, the quality of natural diamonds can vary significantly. Meanwhile, the cutting techniques and the weight of the diamonds served as scales of evaluation of diamonds as well. In general, the value of diamonds can be affected by their weight, cut, clarity, and color. Different characters influence the price of diamonds in diverged degrees. To better comprehend the process of value assessment, it’s important to know these related factors. This work may be helpful for potential consumers of diamonds to lock down on their targets at cost-efficient prices. The dataset includes a collection of 5000 diamond samples. To be specific, each sample confines a diamond with its price( in $), its weight(in carat), its cut( fair, good, very good, premium, ideal), its color( range from J to D, while J is the worst and D is the best), its clarity( I1=worst, SI1, SI2, VS1, VS2, VVS1, VVS2, IF=best), and its body(percent). The mean price of diamonds in our sample is 3859.478$. The standard deviation of the diamond prices is 3906.035$. The prices of diamonds in our sample vary enormously. The most expansive diamond cost more than 18k, while the lowest price is as low as about 300$. Such a gigantic price difference shows that the variables mentioned about have a decisive influence on the diamond prices Our first question is to generate a distribution pattern of the price of diamonds. As a hypothesis, we predict that most of the prices will be converging on the mean price (3859.478$) To begin with, we introduce a histogram of the prices of diamonds (Figure 1). As observed, the distribution of the prices is a unimodal histogram. The column of 500-999$ contains the most price samples, which is 1159 out of the 5000 samples. The mode of this sample, obviously, is in the range of 500-999$. Thus, approximately 25% of the sample prices are actually below 1000$. The median of sample prices is 2405.500, which means that roughly 50% of the diamonds cost lower than 2400$. Compared with the actual fact, our hypothesis is obviously unprecise. According to what we expected, the histogram should be unimodal, skewed to the left (as we expected the mode equals the mean, which is greater than the median). However, the fact shows that the common diamonds cost lower than we expected. As we mentioned before, the standard deviation is in the sample prices is as large as 3906.035$, which means the difference between prices is drastic. In conclusion, the distribution pattern of the diamond price is unimodal and right-skewed. Our next question is to find out the relationship between the weight of the diamonds (measure in carat) and the prices of them. Intuitively, we hypothesize that the great weights (larger the carats) predict higher values of the diamonds. Thus, the weights and prices should be positively associated. To start, we created a scatterplot to show the potential relationship between the prices and the weights (figure 2). According to the plot, there is a roughly positive association between the prices and the weights. This illustrates a prediction that generally, the larger the weight, the higher the price. To clarify this, we introduced 2 regression lines. The first regression line is linear. The slope of the linear regression line is positive. With the emergence of the line, it is obvious that the higher-priced diamonds fit better on the regression line. The less expensive samples seem not to depend that greatly on their weights. As we mentioned, the number of carats is only one of the scales to evaluate the price of diamonds. To better elaborate on this association, we also introduced the smooth regression line. We set our smooth parameter to 0.66. The smooth regression line performed sightly better than the linear one in predicting the expensive samples. The coefficients of the linear regression function are also listed below: It is obvious that the samples do not fit perfectly on our regression line. Therefore, even though this linear regression line can predict the price relatively well, its coefficient cannot be 1. As we listed below , the coefficient of our linear regression line is 0,.922, which is very close to 1. Thus, a strong positive linear association exists between the weights and the price. Also, the residuals between the real prices with the predicted prices are listed below (figure 3.) Apparently, the residuals in the higher-priced section are relatively smaller than the residuals in the lower-priced section. This indicates that the linear regression linear predicts better when the prices of the samples are indeed high. Our third question is to find out the association between the color of the diamonds and their price. The color of the diamonds also has influences on their prices. As a hypothesis, we speculate that the better color (level closer to” D”) refers to a higher price. To start, we created a boxplot to show the possible association between the prices and the colors (figure 4). As an explanation, we considered that no diamond is perfect. The D level represents the best color, so these diamonds are extremely rare. In that case, their median price can be significantly affected by other factors. For instance, so D level diamonds may not be large enough. However, the D level has more outliers. This means that if those most precious diamonds may be of D level. So, suppose 2 samples are both the same size (large and heavy), ideally cut, same clarity (IF, best), same body, then if one of them is D level, its price will be incredibly higher than the other one because of its multiplied rareness. The fact actually refuted or prediction. On the other hand, we still managed to give a reasonable explanation for this phenomenon. In conclusion, all color levels have similar median prices, but the better levels have more outliers, which represent those most expensive top-levels."
student_045,"As the boundaries of the digital world expand, so too do the opportunities to earn a living by entertaining viewers on social media and video platforms such as TikTok, Instagram, and YouTube. YouTube is currently the most popular online video streaming site for young adults, with new channel registration on the rise each subsequent year. YouTube content creators have the opportunity to earn money by running ads on their videos, with the yearly revenue of the highest-paid creators going well into the eight figures (as reported by Forbes in Dec. 19, 2019: https://www.forbes.com/sites/maddieberg/2019/12/18/the-highest-paid-youtube-stars-of-2019-the-kids-are-killing-it/#8342b8638cd4). YouTube reports that channels generating more than six figures for their creators are on a 40% year-by-year rise (https://www.youtube.com/intl/en-GB/about/press/). Since the amount of money a YouTube channel makes is dependent on its engagement, understanding the insight behind what makes a YouTube channel achieve views can be helpful for budding creators, and perhaps catalyze their success in trekking this relatively new job field."
student_046,"In a world where over half of the population are active Internet users, it is evident that technology has impacted our lives tremendously. In fact, one of the most popular applications used today, Youtube, has over 2 billion users worldwide, according to a report released by Youtube: https://www.youtube.com/about/press/. Lately, there has been a lot of controversy with Youtube’s algorithm. By the term “algorithm,” we mean the process of which certain videos end up on the trending or recommended page. Creators are constantly worried about whether or not their channel will be relevant because of the unusual algorithm, and the viewers complain about what videos Youtube recommends to them (there are more problems than this). According to an article talking about the algorithm (https://www.wsj.com/articles/youtube-created-a-generation-of-young-stars-now-they-are-getting-burned-out-11576762704), this leads to burnout and a lot of distress to the users. With such controversy, our goal is to further examine the Youtube algorithm, seeing what could be affecting engagement, and explore possible relationships between different variables."
student_047,"Since its launch in 2005, Youtube has steadily hosted millions of users accessing the platform for long-form video content. Along with the platform's increasing amount of users came the rise of 'youtubers,' people who dedicate their lives to the production of video content on the site. Youtubers have since been able to generate incomes totaling into the millions of dollars for themselves and have been able to support themselves through ad revenue and sponsored brand content. The job of a youtuber is highly lucrative and dependent on amassing a loyal and large subscriber base. However, there is no clear-cut methodology to gaining subscribers and youtuber hopefuls are eager to crack the code. The goal of our work is to examine patterns related to subscriber count of popular Youtube channels, and identify any patterns and relationships that might shed light on how youtubers are able to gain such large amounts of subscribers."
student_048,"Nowadays, plenty of websites offer users the platform to express various things in video format. Youtube, one famous website with free-watching videos, seemingly becomes a tool to advertise and raise money (as reported in Intuit Mint, Apr. 23, 2021:https://mint.intuit.com/blog/relationships/how-much-do-youtubers-make-5035/). In YouTube, different channels upload different numbers of videos in several types of categories and obtain different amounts of views. In the current research, we aim to provide deeper and more comprehensive information about Youtube, especially the possible connection among videoUploads, categories, and views. This work may act as a helper by enabling users to manage their accounts better."
student_049,"The growth of streaming services and digital media platforms over the past few years has been tremendous, with Youtube being one of the most prominent video-sharing platforms in the world. Youtube is a not only a source of entertainment, but also a resource for those looking to catch up on the latest news or those hoping to learn various math skills (as reported for example in Grand View Research, June 2020: https://www.grandviewresearch.com/industry-analysis/video-streaming-market). The platform provides many opportunities to its users, so much so that people can work full-time as a '“youtuber.” Of course, this is only possible given that the channel is successful to a certain extent. Subscribers heavily contribute to a channel’s monetary growth and channels with many subscribers are generally viewed as successful. Our goal is to better understand Youtube subscribers, such as how they are distributed based on category. This study may provide some insight as to how a channel should operate and what some viable goals could be, specifically if the channel is looking to grow its subscriber count."
